epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,488.061,1.16389,0.63864,0.95569,0.90043,0.83697,0.92121,0.61197,1.16533,0.61108,0.95787,0.0011684,0.0011684,0.0011684
44,498.151,1.16321,0.63627,0.95837,0.88943,0.85017,0.92349,0.61552,1.15666,0.60197,0.9572,0.0011486,0.0011486,0.0011486
45,508.44,1.15364,0.6324,0.95767,0.88791,0.84937,0.92076,0.61038,1.15736,0.60725,0.95824,0.0011288,0.0011288,0.0011288
46,554.275,1.15576,0.62783,0.95266,0.88763,0.85777,0.92432,0.60564,1.17757,0.6053,0.96957,0.001109,0.001109,0.001109
47,564.314,1.14974,0.62514,0.95705,0.88203,0.85277,0.92146,0.61419,1.15754,0.60224,0.95932,0.0010892,0.0010892,0.0010892
48,611.164,1.14535,0.62788,0.95232,0.89073,0.85448,0.92553,0.61247,1.15699,0.59808,0.95985,0.0010694,0.0010694,0.0010694
49,621.192,1.1413,0.62422,0.95019,0.88669,0.85517,0.92524,0.61726,1.14639,0.59604,0.95501,0.0010496,0.0010496,0.0010496
50,668.505,1.13538,0.61445,0.94872,0.88725,0.86037,0.92667,0.61453,1.15887,0.59125,0.95843,0.0010298,0.0010298,0.0010298
51,678.426,1.13592,0.61218,0.94869,0.87817,0.86397,0.92443,0.616,1.15123,0.59137,0.95506,0.00101,0.00101,0.00101
52,688.359,1.13141,0.61347,0.94828,0.89103,0.85357,0.92364,0.62103,1.14364,0.59558,0.95435,0.0009902,0.0009902,0.0009902
53,734.674,1.12854,0.6069,0.94585,0.88987,0.86237,0.92614,0.61516,1.16165,0.59386,0.9589,0.0009704,0.0009704,0.0009704
54,744.655,1.11586,0.60442,0.94221,0.88652,0.86891,0.92951,0.62143,1.13836,0.58488,0.95042,0.0009506,0.0009506,0.0009506
55,791.75,1.11296,0.60273,0.94389,0.88454,0.86637,0.92675,0.62011,1.14026,0.58482,0.95265,0.0009308,0.0009308,0.0009308
56,801.769,1.11868,0.60298,0.94242,0.89207,0.85737,0.9267,0.61849,1.14263,0.58475,0.95565,0.000911,0.000911,0.000911
57,848.838,1.10909,0.59879,0.94404,0.88927,0.86377,0.92709,0.62257,1.13543,0.58143,0.95196,0.0008912,0.0008912,0.0008912
58,858.821,1.11828,0.60293,0.94376,0.89277,0.85938,0.92793,0.6254,1.12996,0.58148,0.94886,0.0008714,0.0008714,0.0008714
59,868.798,1.10434,0.59202,0.93693,0.88484,0.86072,0.92706,0.61927,1.14578,0.58512,0.95446,0.0008516,0.0008516,0.0008516
60,915.051,1.10024,0.59076,0.93826,0.89556,0.85477,0.92602,0.6242,1.13977,0.58641,0.95279,0.0008318,0.0008318,0.0008318
61,925.228,1.09896,0.59055,0.93773,0.8894,0.86757,0.929,0.62751,1.12405,0.57927,0.94895,0.000812,0.000812,0.000812
62,964.612,1.09745,0.591,0.9385,0.89098,0.85668,0.92699,0.62127,1.13724,0.58497,0.95334,0.0007922,0.0007922,0.0007922
63,974.701,1.09241,0.58559,0.93737,0.88845,0.86191,0.92847,0.62719,1.12463,0.57585,0.95012,0.0007724,0.0007724,0.0007724
64,984.656,1.09589,0.58765,0.93632,0.89191,0.86217,0.92848,0.62867,1.1294,0.57336,0.95119,0.0007526,0.0007526,0.0007526
65,994.772,1.09702,0.58637,0.93534,0.8975,0.85617,0.93128,0.62976,1.12092,0.56905,0.9494,0.0007328,0.0007328,0.0007328
66,1004.84,1.08345,0.5791,0.93312,0.89722,0.85617,0.92985,0.63153,1.12142,0.5675,0.95007,0.000713,0.000713,0.000713
67,1014.95,1.08409,0.57842,0.93741,0.9007,0.85857,0.93075,0.62839,1.12452,0.56957,0.95156,0.0006932,0.0006932,0.0006932
68,1025.15,1.07811,0.57356,0.93164,0.89255,0.86177,0.92996,0.63151,1.11841,0.57032,0.94794,0.0006734,0.0006734,0.0006734
69,1035.16,1.06833,0.57135,0.9301,0.89511,0.86097,0.92892,0.63035,1.12618,0.56694,0.95031,0.0006536,0.0006536,0.0006536
70,1045.1,1.07978,0.57566,0.93227,0.88572,0.86617,0.93174,0.63058,1.12179,0.56827,0.94696,0.0006338,0.0006338,0.0006338
71,1055.17,1.06734,0.57305,0.92999,0.89696,0.86371,0.93054,0.62913,1.11785,0.56318,0.94884,0.000614,0.000614,0.000614
72,1065.21,1.07147,0.57409,0.93094,0.88706,0.87672,0.93335,0.6315,1.12347,0.56378,0.94909,0.0005942,0.0005942,0.0005942
73,1075.34,1.07194,0.56956,0.93049,0.891,0.86664,0.92922,0.63034,1.11952,0.56041,0.94811,0.0005744,0.0005744,0.0005744
74,1085.52,1.06277,0.56721,0.92893,0.89581,0.86171,0.93033,0.63286,1.11713,0.56269,0.94579,0.0005546,0.0005546,0.0005546
75,1095.56,1.06598,0.56812,0.92732,0.88277,0.87477,0.93021,0.63416,1.11547,0.56111,0.9468,0.0005348,0.0005348,0.0005348
76,1105.58,1.05902,0.56264,0.92729,0.88662,0.87217,0.93183,0.63497,1.11753,0.56075,0.94557,0.000515,0.000515,0.000515
77,1115.55,1.05152,0.56211,0.92675,0.89014,0.87363,0.93142,0.63346,1.11538,0.5595,0.94604,0.0004952,0.0004952,0.0004952
78,1125.68,1.0612,0.56695,0.92795,0.89507,0.87025,0.93191,0.63343,1.11915,0.55861,0.94658,0.0004754,0.0004754,0.0004754
79,1135.71,1.04359,0.55725,0.92151,0.89365,0.86557,0.93162,0.63613,1.11066,0.55676,0.94446,0.0004556,0.0004556,0.0004556
80,1145.74,1.04992,0.55853,0.92534,0.88922,0.87137,0.93119,0.63548,1.11012,0.5543,0.94438,0.0004358,0.0004358,0.0004358
81,1156.11,1.04043,0.55381,0.9209,0.89065,0.86679,0.93024,0.63335,1.12066,0.56009,0.94796,0.000416,0.000416,0.000416
82,1166.06,1.04256,0.5535,0.92097,0.89391,0.86637,0.93109,0.63647,1.1127,0.55574,0.94324,0.0003962,0.0003962,0.0003962
83,1176.06,1.03122,0.54634,0.92114,0.88763,0.87544,0.93196,0.63602,1.11537,0.55337,0.94561,0.0003764,0.0003764,0.0003764
84,1186,1.03422,0.55036,0.91928,0.88472,0.88271,0.93365,0.6358,1.11165,0.55109,0.94552,0.0003566,0.0003566,0.0003566
85,1196.04,1.03362,0.54762,0.91886,0.89939,0.86657,0.93258,0.63685,1.11081,0.55422,0.94547,0.0003368,0.0003368,0.0003368
86,1206.04,1.0234,0.54093,0.91678,0.88975,0.87237,0.93288,0.63491,1.11168,0.55322,0.94626,0.000317,0.000317,0.000317
87,1216.44,1.033,0.5465,0.92103,0.89175,0.87335,0.93426,0.6363,1.1152,0.55142,0.94628,0.0002972,0.0002972,0.0002972
88,1226.51,1.01811,0.53849,0.91555,0.89421,0.87518,0.9347,0.63906,1.10492,0.54884,0.94284,0.0002774,0.0002774,0.0002774
89,1236.53,1.01686,0.54014,0.91513,0.89495,0.87429,0.93517,0.64137,1.10203,0.54645,0.94256,0.0002576,0.0002576,0.0002576
90,1246.69,1.01855,0.53737,0.91459,0.8907,0.87818,0.93441,0.63964,1.10668,0.54998,0.94339,0.0002378,0.0002378,0.0002378
91,1257.26,0.99331,0.51491,0.91235,0.89085,0.87017,0.93211,0.6338,1.11671,0.5532,0.94645,0.000218,0.000218,0.000218
92,1282.04,0.9773,0.50631,0.90808,0.88882,0.87317,0.93238,0.63732,1.11618,0.55228,0.94737,0.0001982,0.0001982,0.0001982
93,1314.35,0.97404,0.50189,0.90543,0.89696,0.86888,0.93343,0.63765,1.11713,0.55187,0.94752,0.0001784,0.0001784,0.0001784
94,1359.92,0.96947,0.50238,0.90419,0.89528,0.87564,0.93351,0.63681,1.11771,0.5503,0.94836,0.0001586,0.0001586,0.0001586
95,1392.78,0.9693,0.49826,0.90253,0.89426,0.87292,0.93284,0.63913,1.11164,0.55016,0.94742,0.0001388,0.0001388,0.0001388
96,1425.47,0.96227,0.49844,0.90278,0.8933,0.87418,0.93344,0.63885,1.11373,0.55085,0.94666,0.000119,0.000119,0.000119
97,1456.78,0.95843,0.49478,0.90089,0.89309,0.87401,0.93373,0.63962,1.10905,0.54849,0.94621,9.92e-05,9.92e-05,9.92e-05
98,1486.51,0.95223,0.49016,0.90141,0.89336,0.87257,0.93312,0.63998,1.11025,0.54874,0.9463,7.94e-05,7.94e-05,7.94e-05
99,1517.52,0.95071,0.48894,0.89774,0.89301,0.87487,0.93377,0.64029,1.11097,0.54901,0.94682,5.96e-05,5.96e-05,5.96e-05
100,1547.94,0.95189,0.49048,0.89976,0.88945,0.87558,0.9337,0.63924,1.11097,0.54881,0.94676,3.98e-05,3.98e-05,3.98e-05
